ID;Typ;Datum;Betrag;Hauptkategorie;Unterkategorie;Beschreibung;Haendler;Zahlungsart;Quelle
excel-Oktober_2007-Einkommen;Einnahme;2007-10-01;1600,0;Einnahmen;Einkommen / Gehalt;Einkommen netto · Excel-Historie;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-G5;Ausgabe;2007-10-01;220,74;Versicherungen / Altersvorsorge / Finanzen;Versicherungen / Rente / Bank (historisch);Excel-Historie · Versicherungen und Rente;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-I5;Ausgabe;2007-10-01;485,0;Wohnen;Miete / Strom (historisch);Excel-Historie · Miete+Strom;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-K5;Ausgabe;2007-10-01;17,0;Gesundheit;Gesundheit / Arzt / Medikamente (historisch);Excel-Historie · Medikamente;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-L5;Ausgabe;2007-10-01;19,0;Wohnen;Mobilfunk / Telefon (historisch);Excel-Historie · Handy und Telefon;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C6;Ausgabe;2007-10-02;6,1;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J7;Ausgabe;2007-10-03;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C8;Ausgabe;2007-10-04;12,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J8;Ausgabe;2007-10-04;3,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C9;Ausgabe;2007-10-05;3,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J9;Ausgabe;2007-10-05;44,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C10;Ausgabe;2007-10-06;5,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
